transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro
Transcript_CTD,lstm,200,16,0.3,0.1,64,0.0005,0.6544354838709677,0.06067845045513109,0.6232318149890739,0.0834004697351307,0.6293228755503398,0.07860369221281718,0.6835190379795644,0.06597838445882381,0.642125350140056,0.06902449008329707
Transcript_CTD,lstm,200,128,0.3,0.0,0,0.001,0.5961693548387096,0.027969022043480125,0.5911639059136279,0.027074517069376077,0.5899797032416609,0.02505487779222946,0.610132768418372,0.04600027859353684,0.6014495798319328,0.0367888147075761
Transcript_CTD,lstm,200,128,0.3,0.0,0,0.0005,0.5893145161290322,0.0647817741716627,0.5685974496268613,0.06651412851869362,0.570118044743282,0.06742020897339768,0.6277309751651856,0.10852581390362333,0.5874964985994398,0.060687401363657904
Transcript_CTD,lstm,200,128,0.3,0.0,64,0.001,0.5834677419354838,0.037055113352927896,0.5733856603542729,0.04242251453860522,0.5750350191942903,0.04118910365653474,0.5881753886285115,0.03793935831129619,0.5816561624649859,0.038526500423426806
Transcript_CTD,lstm,200,128,0.3,0.0,64,0.0005,0.583266129032258,0.06868019822329922,0.5168859974834488,0.10096848950455974,0.5266458440682704,0.09396339527256029,0.6070782920782921,0.14692510011016327,0.5664320728291317,0.07659322488990584
Transcript_CTD,lstm,200,128,0.3,0.1,0,0.001,0.621774193548387,0.014084071932720134,0.6059313663255368,0.004086228991646671,0.6082497066776649,0.005450956361065355,0.6420699475962633,0.042955135741176986,0.6178921568627451,0.011594652825529484
Transcript_CTD,lstm,200,128,0.3,0.1,0,0.0005,0.5836693548387096,0.04646947811135529,0.5349333600540497,0.11092949729574596,0.5433563979086783,0.09692815010678332,0.5343981698251147,0.15478070189889687,0.5714215686274511,0.0606870985919213
Transcript_CTD,lstm,200,128,0.3,0.1,64,0.001,0.583266129032258,0.10217717270892146,0.5806825498482896,0.105143307704856,0.57933137856664,0.10618142250393332,0.5887539799381905,0.10285329643968597,0.5879866946778711,0.09998369343515029
Transcript_CTD,lstm,200,128,0.3,0.1,64,0.0005,0.5901209677419355,0.053282670626329166,0.5813532492753849,0.04992943584158443,0.5802722474274199,0.05350092324763411,0.6050595238095239,0.05241729664460332,0.5937920168067226,0.044519851341654815
Transcript_CTD,bilstm,100,16,0.3,0.0,0,0.001,0.6346774193548387,0.04801605047291676,0.6299270832974605,0.05111099772422158,0.6312603672696758,0.0506803887570821,0.6375467914438502,0.04688025363155718,0.6332808123249299,0.049038903952733824
